date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:53:59	82968/82968	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:05%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.eot?	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavyd41d.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:00	37408/37408	---M-Z	200	added ('OK')	application/font-woff	date:Tue,%2018%20Mar%202025%2000:24:05%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.woff	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.woff	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:00	82572/82572	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2018%20Mar%202025%2000:24:05%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.ttf	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Heavy.ttf	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:00	89206/89206	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:05%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.eot	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:00	89206/89206	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:06%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.eot?	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalicd41d.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:00	41800/41800	---M-Z	200	added ('OK')	application/font-woff	date:Tue,%2018%20Mar%202025%2000:24:06%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.woff	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.woff	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:01	88764/88764	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2018%20Mar%202025%2000:24:06%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.ttf	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-MediumItalic.ttf	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:01	84804/84804	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:06%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.eot	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:01	84804/84804	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2018%20Mar%202025%2000:24:06%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.eot?	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thind41d.eot	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:01	37788/37788	---M-Z	200	added ('OK')	application/font-woff	date:Tue,%2018%20Mar%202025%2000:24:07%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.woff	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.woff	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:02	84636/84636	---M--	200	added ('OK')	application/x-font-ttf	date:Tue,%2018%20Mar%202025%2000:24:07%20GMT	https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.ttf	C:/My%20Web%20Sites/harsh/gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy-Thin.ttf	(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
05:54:02	119/119	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Mar%202025%2000:24:07%20GMT	https://gistcdn.githack.com/robots.txt		(from https://gistcdn.githack.com/mfd/09b70eb47474836f25a21660282ce0fd/raw/e06a670afcb2b861ed2ac4a1ef752d062ef6b46b/Gilroy.css)
